ticker,current_price,pe_ratio,market_cap,day_change_pct,week_52_high,week_52_low
TCS,2596.3,19.67,9393640833024.0,-0.66,3710.0,2561.3
INFY,1304.9,18.61,5279221547008.0,1.24,1732.95,1264.1
RELIANCE,1339.4,21.77,18125393231872.0,-1.37,1611.8,1114.85
LT,3806.9,29.81,5236815560704.0,-6.39,4440.0,2965.3
BEL,455.75,55.78,3331431858176.0,0.4,461.65,256.2
INDIGO,4318.4,51.92,1669548736512.0,-4.47,6232.5,4293.0
LTM,4393.8,27.41,1302492086272.0,-0.24,5195.0,4330.1
TECHM,1349.9,25.92,1195631312896.0,0.33,1854.0,1209.4
OFSS,6819.0,24.41,593452138496.0,-0.42,9950.0,6399.5
HDFCBANK,876.2,19.536232,13482979229696.0,-0.36388585,1020.5,835.025
ICICBANK,,,,,,
HINDUNILVR,2283.7,53.1959,5366540664832.0,-1.5901122,2750.0,2150.0
AXISBANK,1334.9,15.842629,4147606192128.0,-2.7251546,1418.3,999.2
KOTAKBANK,407.25,21.524841,4050301747200.0,-1.4161235,460.38,379.08
HCLTECH,1368.5,22.530457,3702685433856.0,-0.18234865,1780.1,1302.75
SOLARINDS,14400.0,89.513275,1303056744448.0,2.9380226,17820.0,9053.0
COALINDIA,435.5,8.9867935,2683868282880.0,2.170088,461.55,356.0
ADANIENT,2074.6,18.742434,2681798918144.0,-2.353384,2695.0,1848.0
