ticker,company_name,current_price,week_52_high,week_52_low,discount_pct,pe_ratio,market_cap,sub_cluster
INDIGO,InterGlobe Aviation Limited,4318.4,6232.5,4293.0,98.69,51.92,1669548736512.0,0
HINDUNILVR,Hindustan Unilever Limited,2283.7,2750.0,2150.0,77.72,53.1959,5366540664832.0,0
SOLARINDS,Solar Industries India Limited,14400.0,17820.0,9053.0,39.01,89.513275,1303056744448.0,2
LGEINDIA,LGEINDIA,1544.4,1749.0,1325.5,48.31,59.860466,1048296161280.0,1
MAXHEALTH,Max Healthcare Institute Limited,1055.6,1314.3,933.8,67.99,72.69972,1028048158720.0,1
MANKIND,Mankind Pharma Limited,2212.2,2716.5,2012.3,71.61,51.31524,913207328768.0,1
BHEL,Bharat Heavy Electricals Limited,249.4,305.9,188.0,47.92,107.03863,868426579968.0,2
DABUR,Dabur India Limited,490.75,577.0,433.3,60.02,47.14217,870438404096.0,1
MAZDOCK,Mazagon Dock Shipbuilders Limited,2172.4,3775.0,2125.9,97.18,36.413006,876302696448.0,0
HAVELLS,Havells India Limited,1324.6,1673.8,1250.1,82.42,55.890293,830913183744.0,0
